experiment_id,algorithm_id,hyperparameter_hash,training_runs,evaluation_episodes,mean_score,median_run_score,run_standard_deviation,ci95_low,ci95_high,mean_learning_auc,mean_wall_clock_train_s
double_dqn-f70aab67f8364d91,double_dqn,f70aab67f8364d91,5,500,199.36685484843915,188.0394671537801,31.993163580740777,175.20039015762228,223.53331953925607,5922913.914729148,48.58119082450867
dqn-86e85222c0508775,dqn,86e85222c0508775,5,500,238.68382087308265,235.77752975710263,57.106453498278384,196.92157281039286,283.8700441446127,6097610.4789912375,41.185684776306154
dueling_double_dqn-873b4e68b4a43e4f,dueling_double_dqn,873b4e68b4a43e4f,5,500,255.78775612776803,280.31885085841475,40.18833111846956,225.61883210011902,285.956680155417,6987340.974233935,63.987571477890015
dueling_double_dqn_n3-549aa9d67df8708c,dueling_double_dqn_n3,549aa9d67df8708c,5,500,289.66586211799495,293.9108254292781,37.63908181076736,260.28422670625076,320.3516906313049,7002570.995446784,86.08208012580872
